Akhvakh	ашwалӀи мицӀи	akv-000	рекьІа	элъІело	гьамари		къІунулъІа	чо̅рулъІа	охІорулъІа		бикъикъурулъІа		гьамагъе	хъиᴴза	голъІе	бих̄урулъІа
Akkadian	akkadû	akk-000	qātu		pānum		lapātum	ramāku			zâzum		ibrum			wašābum
Akkadian	𒅎𒀝𒂵𒌈	akk-001	𒋗	𒄭						𒂍						
Aklanon	Akeanon	akl-000	ʔalí:mah	síkoe	atúbaŋ			bánaw							ʔayáw	
Akose / Akoose	Akɔ̄ɔ̄sē	bss-000	ka													
Alabama	Albaamo innaaɬiilka	akz-000	ilbi		ibitaala			aasihli		chokka				imalahkaha	ánkobi	
Albanian	shqip	sqi-000	dorë	bërryl	fytyrë	largësi	prekje	lan	kollitem	shtëpi	plor		mik	familje	jo	ngelur
Aleut / Unangan / Unangas / Unangax̂	Unangam Tunuu	ale-000	Ca							damo			agiitaadax			
Algerian Spoken Arabic	Algerian Spoken Arabic	arq-000	y3dd													
Aloapam Zapotec	Aloapam Zapotec	zaq-000	na													
Altai	алтай тил	alt-000	кол		чырай			jун					најы	биле		
Alune	Alune	alp-000	bala												mo	
Alviri-Vidari	الویری-ویدری	avd-000			دیم				کله							
Alyawarr	Alyawarra	aly-000	itipa	amaka	uḷa				aṭikinima							
Amatlan Zapotec	Amatlan Zapotec	zpo-000	ya7													
Amberbaken	Amberbaken	akc-000	wom													
Ambonese Malay	Malayu Ambong	abs-000	taŋaŋ												tar	
Ambrak	Ambrak	aag-000	pambum												yiko	
American English	American English	eng-004						(to) wash up								
American Sign Language	A@Side-PalmForward S@Side-PalmForward L@Side-PalmForward	ase-000											X@Finger@PalmDown-X@CenterChesthigh-PalmUp X@Finger@PalmUp-X@CenterChesthigh-PalmDown	9@RadialHand-PalmForward-9@CenterChesthigh-PalmForward RoundHoriz-RoundHoriz 9@UlnarHand-PalmBack-9@CenterChesthigh-PalmBack	O@Side Sidetoside	
Amharic	አማርኛ	amh-000	እጅ		ፊት					ቤት			ጓደኛ	ቤተሰብ		
Amis	Amis	ami-000	kamay					mu-nanaw							naʔaj	
Amur Gilyak	Amur Gilyak	niv-001	t3mk													
Ana Dogon	Ana Tinga Dogon	dti-000		tɔndɔː	gidenɔmgo		tabule	mɔgɔle					lalŋɔ			
Anakalangu	Anakalangu	akg-000	lima												daʼama	
Andi	къIaваннаб мицци	ani-000	рела	ц̅Іикон	гьаргъгъуна		гъгъобу	абчиду	угьуду		бекъомиду		нокол̅Іу	хъизан	су	вок̅уду
Aneityum	Aneityum	aty-000	nijma-												itiyi	
Angloromani	Angloromani	rme-000	vast3													
Anmatjirra	Anmatyerre	amx-000	ilty~a													
Antillean Creole	kréyol	gcf-000	men					lavé								
Aomori Japanese	青森方言	jpn-008					ちょす						けやぐ			
Arabic	العربية	arb-000	يد	كوع	وجه	مسافة	لمس	غسل	سعال	منزل	سهم	مجتمع	صديق	عائلة	لا	مَكَثَ
Aragonese	luenga aragonesa	arg-000	man	ancón	cara	distancia	toquitiar	labar		casa	compartir	corporación	amigo	familha		quedar
Araki	Araki	akr-000	limʼa							ima					tse	
Arapaho	Hinonoʼeitiit	arp-000	beecét	bétison	betóóxebíó'				ceséceiní'oo-	béyeihi'			béiteh'éi		kos	neesééntoo-
Arara	Arára	aap-000	emia													
Arawak	Arawak	arw-000	kh~abo													
Arawe / Solong	Solong	aaw-000	imE7													
Archi	aršatten č’at	aqc-000	kul	čun	maˤmərči		sːas	čučəbos	uħubos		bútʼi		halmaχdu	χali	tʼo	
Ari	Ari	aac-000	tabebobo	tabe misikawa					oba kisele						neima	
Aromanian / Macedo-Romanian	limba armãneascã	rup-000	mãnã	dzenuclju	fatsã			spel	tusi					fumealje	nu	armâni
Aromay / Western Neo-Aramaic	Aromay	amw-000	izE													
Asa	Aasáx	aas-000	moŋ-ok													
Assamese	অসমীয়া ভাষা	asm-000	হাত		মুখ	দুৰত্ব	স্পর্শ		কাহ	ঘৰ	ভাগ-বতৰা কৰক	community	বন্ধু	পৰিয়াল		থাক
Assiniboine	Assiniboine	asb-000	na*be													
Assyrian / Assyrian Neo-Aramaic	ܐܬܘܪܝܐ	aii-000	qatu													
Asturian	asturianu	ast-000	mano	coldu	cara	distancia	tocar	llavar	tus	casa	compartir	comunidá	amigu	familia	nun	permanecer
Asu / Pare	Kipare	asa-000	kono	kìgúsùnò	ʃó			kuruta	kóhà		ghava					shigha
Asumboa	Asumboa	aua-000	nama													
Atayal	Atayal	tay-000	qba					mahoq								
Atong	Akanunku	ato-000	ébúɣū					nísò								
Atong	Emuah	ato-001	ébúɣō					nísò								
Avar	авар мацӀ	ava-000	квер	гӀункӀрукь	гьумер		квер хъвазе	чуризе	хъегІдизе		гьоркьоб бикьизе		гьудул	хъизан	гуро	хутІизе
Avestan	Avestan	ave-000	zasto													
Avoidance	Manyallaluk Mayali	gup-003	gun-bit		gun-gep										kayakːi	
Awa pit	Cuaiquer	kwi-000	Ct3													
Awngi	Awngi	awn-000						kʔuo-tsʔ								
Ayiwo	Äiwoo	nfl-000	ñ-ime					okone							kā	
Aymara / Central Aymara	aymar aru	ayr-000	ampara	qunquri	ajanu			jariña			lakiña	ayllu	masi	wila masi	jani	utʼaña
Ayoquesco Zapotec	Ayoquesco Zapotec	zaf-000	ya7													
Azeri / Azerbaijani	Азәрбајҹан дили	azj-001	әл	дирсәк	үз	ираглыг	дәјмәк	јумаг	өскүрмәк		бөлүшдүрмәк		дост	аилә	хејр	сахламаг
Azeri / Azerbaijani / South Azerbaijani	تۆرکجه	azb-000	ال		اوز								دوست	آیله		
Azeri / North Azerbaijani	azərbaycanca	azj-000	əl	dirsək	üz	məsafə	dəymək	yumaq	öskürmək	ev			dost	ailə	qeyri	saxlamaq
Babuza	Babuza	bzg-000	addas													
Bafia	rikpa	ksf-000	To7													
Bai	Baip‧ngvp‧zix	bca-000	si													
Bakati’	Dayak Bakatiq-Sara/Riok	bei-000	barekng												katiʔ	
Bakhtiari	بختیاری	bqi-000	دست							حونه						
Bakor / Abanyom	Abanyom	abm-000	ɔ̀=bɔ̂													
Baliledo	Baliledo	map-005	lima												daʼama	
Balinese	basa Bali	ban-000	lima	sikut	harep			baseh	sukak					kuren	tusing	
Balochi	بلوچی زبان	bal-000	دست		دیم	پند	چهتّرکنغ			گس			دوست			
Bamali	chɔ̀pəchɔ̂p	bbq-000		ŋkʷɛŋpɔ	mi		mɛ]tə	ʃɔməndɥi	kʷɛh				ʃo	ŋɡʷɛt	ŋɡa	laʔ
Bambara	bamanankan	bam-000	bolo	nɔnkɔn	ɲɛda	janya	maga	kò	sɔgɔsɔgɔ	so	niyɔrɔ		teri	denbaya	ayi	to
Bamum	Bamoun	bax-000	po		miʜ			ʃu					nsuʜn			
Bana	bànà	bcw-000	d3v3		kʊma		kfàɣàki	pšʊ̀vàyi	ʔiɬa				m̀či			
Banaro	Banaro	byz-000	mʌãɣʌrõ												waran	
Banatiski Gurbet Romani	Banatiski Gurbet Romani	rmy-001	vas													
Banggai Islands	Banggai Islands	bgz-001	lima												aki	
Bankon	Bankon	abb-000	ika													
Bannoni	Bannoni	bcm-000	numa-												ghinava	
Baoulé	Baoulé	bci-000	sa					kpú	bó tãŋgɔ́				ɟanvwé			
Basaa	ɓàsàa	bas-000	nam	mìŋ̀kúnd	sú				bìkɔ̀hɔ́l							
Basay	Basai	byq-000	Tima												maju	
Bashkir	башҡорт теле	bak-000	ҡул	терһәк	йөҙ			йыуыу					дуҫ	ғаилә	юҡ	
Basque	euskara	eus-000	esku	ukondo	aurpegi	distantzia	ukitu	garbitu	eztul	etxe	akzio	komunitate	lagun	familia	ez	gelditu
Batoufam	Batoufam	nnz-001	bvuɱ		sʌʜ								suɱuɱ			
Bavarian	boarisch	bar-000	Pratzn				åglånga		gugazn	Haus			Spezl	Famülie	ned	sei
Bay Miwok	Lake	lmw-000	ʔˈukːu													
Beaver	tsaaʔ dane	bea-000	nla7													
Bebote	ɓē-bɔ̀tì̵	bjv-001		kàm-síl-jī			ɔ̀dɨ̀	tógɨ̄	kə́sɨ̄		kā̰y		màdɨ̄			nà̰y
Bedjond	Bediondo	bjv-000	jī	sɨ́l			ɔ̀dɨ̀	tógɨ̄	kə́sɨ̄		kā̰y		gàr			nà̰y
Belarusian	беларуская	bel-000	рука	локаць	твар	адле́гласць	датыкацца	мыць	кашляць	дом	акцыя	грама́дства	сябар	сямʼя	не	заставацца
Bemba	iciBemba	bem-000	ukuboko	úlùkóŋkòní	ílììnsó	úmushínsó	-cenesh-	-suk-	kóól				úmunándi	ulupwa/indupwa	gabo	-fukut-
Bena	Ekibena	bez-000	ilivwoko	suguluni	kumiho			kalafya	kugohomola	esu						sigala
Bengali	বাংলা	ben-000	হাত	কুর্পর	মুখ	দূরত্ব	ধরা	ধোয়া	কাশা	ঘর	শেয়ারবাজার	সম্প্রদায়	বন্ধু	পরিবার	না	থাকা
Beni Snous Western Algerian Berber—ASCII	Beni Snous Western Algerian Berber—ASCII	rif-002	fus													
Berti	Berti	byt-000	métò	úskúlàŋ	kindu											
Bezhta	bežƛʼalas mic	kap-001	kō	hāyo	motʼo		-ẽxel-	niza-	öhdä-		-itʼ-		halmaɣ	qizan	häʔä	
Bezhta	бежкьа миц	kap-000	ко̄	гьāйо	мотІо		йеᴴхелал	низāл	оьгьдāьл		йитІал		гьалмагъ	хъизан	гаьъаь	гьиᴴхлъал
Bhojpuri	bhōjapurī	bho-001	hath~													
Biblical Aramaic / Imperial Aramaic / Official Aramaic	ארמית	arc-000	אידא							ביתא					לא	
Big Smokey Valley Shoshoni	Big Smokey Valley Shoshoni	shh-006											haincyh		ke	
Biloxi	Tanêksąyaa ade	bll-000	Cake													
Bintulu	Bintulu	bny-000	agem						p-iked				sakay		ã	
Bisaya / Southern Bisaya	Brunei Bisaya	bsb-000													andi	
Bislama	Bislama	bis-000	han	hinsis blong han	fes		taj	was	kof	haos	serem		fren	laen	no	stap
Blaan	Blaan	bpr-000	sigal												lɔq	
Black Striped Riang	Black Striped Riang	ril-001	ti7													
Bodo	Mech	brx-001	akh~ai													
Bondei	Bondei	bou-000	mkono	kinko				sunta	kukooa	ya						sigaa
Bonga	Bonga	mmt-001	nima	ŋgoŋ					i tola						maᵘ	
Bosnian	bosanski	bos-000	ruka		oblik			prati		kuća		ljudi	prijatelj	ljudi	ne	
Botlikh	Буйхaлъи мицIцIи	bph-000	rE7a	цІикан	хунхул		гъванди	мучи	ухІода вагьи		микъай		гьудул	хъизан	гучІи	вигъи
Brabantic	Brabantic	nld-001	ant													
Brazilian Portuguese	português brasileiro	por-001	mão		enfrentar		tocar			lar	dividir		amiga	família	não	ficar
Breton	brezhoneg	bre-000	dorn	ilin	dremm	pellder	stokañ	gwalcʼhiñ	gwaskenn	ti	soc'h	Kumuniezh	mignon	familh	nann	chom
Brithenig	Brithenig	bzt-000	man		ffeig	traeth	tanger	llawar	tys	a lla gas	cobwl	gwigindad	efig	ffefil	no	cwydar
British English	British English	eng-005												family		
Brooke’s Point Palawano	Brooke’s Point Palawano	plw-000	qalíma												daqgwa	
Budukh	budad mez	bdk-000	χab													
Budukh	Будад мез	bdk-001	хаб	базу	сфет		воротІу	сонзу	оьхІуь сиъи		экъи		дуст	кулфат	ваъ	ункон
Bugurdzi Romani	Bugurdzi Romani	rmn-001	vas													
Bulgarian	български	bul-000	ръка	лакът	лице	дистанция	докосвам	мия	кашлица	къща	споделям	комуна	приятел	семейство	не	престой
Buli	Buli	bwu-000	nisa													
Bunun	Bunun	bnn-000	imaʔ		daqis			ma-sinav		lumaq				lumaq		
Burak	Burak	bys-000						ǯɔp								
Burduna	Burduna	bxn-000	marra	warngu	nguu		mara~	wajama~	nguthurrga~				jaligurdi	yuninyungu	ngulayi	nyinayi
Burmese / Myanmar	မြန်မာဘာသာ	mya-000	လက်	တံတောင်	မျက်နှာ	အကွာအဝေး	ထိ	ဆေး	ခြောငျးဆိုး	အိမ်			မိတ်ဆွေ	မိသားစု	မဟုတ်ပါဘူး	
Burum	Burum-Mindik	bmu-002	dzɑt-					soŋgaŋ-								
Burushaski	Burushaski	bsk-000	ren					hal chom								
Buryat	буряад хэлэн	bua-000	гар		нюур								нүхэр			
Bzyb	бзыҧ	abk-006	анапы													
Caddo	Hasí:nay	cad-000	isik													
Cahabon Eastern Kekchi	Cahabon Eastern Kekchi	kek-001	uq"													
Camberra Language	Camberra Language	aus-051	mana													
Campbell Tabulahan	Campbell Tabulahan	atq-002	teiye													
Cantonese	廣東話	yue-000	手	肘	臉	距	觸	洗	欬	室	共	䄕	友	氏	不	棲
Cape Verdean Creole	kriolu kabuverdianu	kea-000	mon												nau	
Carib	Kaliʼna	car-000	-ainalɨ	-apolɨ enalɨ	-petalɨ		ituka	kupi	selewa		sasaka		akono	himmə	uwa	
Carib as of 1665	Carib as of 1665	awd-018	noukobo													
Carolinian	Carolinian	cal-000	gumwush										amicu		-se	
Carrier	Carrier	crx-003	la													
Catalan	català	cat-000	mà	colze	cara	distància	tocar	rentar	tossir	casa	acció	comunitat	amic	família	no	quedar
Cavineña	Cavineña	cav-000	e-me-toko	išoromomo	e-boc̷e-kini		dodo-ya	oc̷a-ya	oho-oho-ya				ata		-ma	
Cayuga	Goyogohó:nǫ’	cay-000	ohsohda7													
Central African Republic Birri	Central African Republic Birri	bvq-000	inyi													
Central Ahtna	Central Ahtna	aht-002	=la-ʔ													
Central Amis	Central Amis	ami-002	kamay													
Central Arrernte	Central Arrernte	aus-070	mara													
Central Asmat	Jas	cns-000	man	senmak				mui mui-	os							
Central Bikol	Bikol	bcl-000	kamut					mag-húgas		harong					bako	
Central Bontoc / Central Bontok	Central Bontok	lbk-000	liʼma					owás	ekʔék						ʔbakən	
Central Carrier	Central Carrier	crx-004	ula													
Central Chadic	Central Chadic	cdc-000	bóngu					músna							haidi	
Central Kanuri	Kanuri	knc-000	múskò	njùrómí	fə́skà		lètə́	túltə́	nzàsə̀rà		dàgàrtə̀		sáwà	yâl	á'à	dəgákin
Central Masela	Central Masela	mxz-000	ʼlimnei												ʼkar	
Central Minnesota Chippewa	Central Minnesota Chippewa	ciw-001	nininj				daangin-	giziibiigin-	ozosodam						gaawiin	
Central Nahuatl	Tlahco nāhuatlahtōlli	nhn-000								calli						
Central Okinawan	Uchinaaguchi	ryu-000	ti		chira			arain	sakkwi	yaa			dushigwaa	chinee		
Central Quiche Santa Maria Chiquimula	Central Quiche Santa Maria Chiquimula	quc-001	Xab"													
Central Sierra	Central Sierra	csm-000	tˈisːɨ-													
Central Tarahumara	Rarámuri	tar-000	seka													
Central Teke	Central Teke	ebo-000	Ngaga													
Central Tunebo	Central Tunebo	tuf-000	atkara													
Central Yana	Central Yana	ynn-001	tal-la													
Central Yupik	Central Yupik	esu-000	unan										aiparnaarraq			
Chagatai	جغتای	chg-000	Elig													
Chakhar Mongolian	ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ	mvf-002							ᠬᠠᠨᠢᠶᠠᠳᠤ							
Chakma	Changma Kodha	ccp-000	aht													
Chamalal	čamallub mičʼčʼ	cji-001	yEla													
Chamalal	чамалалдуб мичӏчӏ	cji-000	йела	с̅Іикван	ба̅й		билълъла	бушна	эхІу̅ла		бикъла		гьудул	хъизаᴴ	аᴴаᴴ	бас̅Іла
Chamorro	Chamoru	cha-000	kannai	tommon kannai	måta	inachagoʼ	siniente	habuni	loʼloʼ	gumaʼ	apåtte		dei	familia	aheʼ	cho
Chatgaiya	Caṭgãia Buli	ctg-000	hát					dúo								
Chechen	нохчийн мотт	che-000	куьг	гола	юьхь		куьг тоха	дила	йовхарш етта	цӀа	дІасадекъа		доттагӏ	доьзал	хӏан-хӏа	диса
Chehalis / Upper Chehalis	Qʼwayʼayiłqʼ	cjh-000	CalS	taʼnˀis-	ʼmus				ʼχʷōʔi-							
Cherepon	Cherepon	cpn-000	ɔ̀bá													
Cherokee	ᏣᎳᎩ ᎧᏬᏂᎯᏍᏗ	chr-000	ᎤᏬᏰᏂ		ᎤᎧᏛᎢ	ᏀᎾ ᎢᏴᎢ				ᎨᏣᏗ			ᎣᎩᎾᎵᎢ	ᏏᏓᏁᎸᎯ	Ꮭ	
Chewa / Chichewa	chiCheŵa	nya-000	canja	kongono	nkhope	tali	khudza	tsuka	tsokomola		chigawaniko		mnza		iai	ima
Cheyenne	Tsétsêhéstaestse	chy-000	mâheʼho	htséʼooʼo	hetaʼéʼtá		homósem	nešeʼ	heʼhaaʼe	hóoʼôhtsestôtse			nésemaʼhááhe	manâhestôtse	hováʼâháne	
Chickasaw	Chikashshanompa’	cic-000	ilbuk		ishoka								ikana	inkanomi	keyu	
Chiga	Rukiga	cgg-000	omukono	enkokora	ahamaisho	enkiro	kukwataho	okwoza	kukorora	omuka	kugaba		omunywani	eka	okwoho	kusigara
Chimane	Chimané	cas-000	uɲ	c̷oʔtʼki	beh-ʼyaʔ		tœʼheʔ		ʼehe-ʔeʼhei		kœc̷ yiʼri tʸitʸihʼʔin		penʔʼdʸe	četi-ʼdʸe	ʼham	
Chimariko	Chimariko	cid-000	h=ˈitʸa													
China Nung	China Nung	duu-001	la vu													
China She	China She	shx-004	khw$a													
Chinook / Lower Chinook / Coastal Chinook	Lower Chinook	chh-000			siákhost											
Chinook Jargon	chinuk wawa	chn-000	lemah		seahhost			wash	hohhoh				sikhs		wake	
Chipewan	Dënesųłiné	chp-000	nla													
Choapan Zapotec	Choapan Zapotec	zpc-000	na7													
Choctaw	chahta anumpa	cho-000	ibaak					achefa		chuka				chuka	kíyo	
Chorti	Ch’orti’	caa-000	k"ap													
Church Slavonic	ѩзыкъ словѣньскъ	chu-000	рѫка	лакъть	лицє			мꙑти		домъ			приꙗтєль	срьдоболя	нє	
Chuvash	чӑваш	chv-000	алӑ	чавса	пит					кил хутлăхĕ			тус	çемье	çук	
Ch’ol	Tumbalá Chol	ctu-000	k"3b													
Clallam / Klallam	nəxʷsƛ̕ay̕əmúcən	clm-000	cáyəs		sʔács		ƛ̕áp̕t	c̕aʔkʷcísəŋ	túq̕ʷəŋ		cə́yʔəqti		sčáʔčəʔ		ʔə́wə	q̕ə́yəŋ
Classical Arabic—ASJP	Classical Arabic—ASJP	arb-001	yad												lā	makaṯa
Classical Armenian	Գրաբար	xcl-000		արմուկն	ճակատ					դադար	մասն	ազն	աշակերտ	միութիւն		կամ
Classical Nahuatl	Nāhuatlahtōlli	nci-000	maitl	molicpitl	ixtli	kalkayotl				calli			pohtli	cencalli	ahmo	
Coast / Bodega	Bodega	csi-000	ʔˈukːuh													
Coastal Lamalama	Coastal Lamalama	lby-001	kul													
Coatlan Loxicha Zapotec	Coatlan Loxicha Zapotec	zpx-000	ya													
Cocama	Cocama	cod-000	pua							uka			irua			
Coeur d'Alene	Coeur d’Alene	crd-000	sc"ic"e7eCt													
Columbian / Columbia-Moses / Columbia-Wenatchi	Nxaảmxcín	col-000	kalx													
Comanche	nʉmʉ tekwapʉ̱	com-000	mo7e					hunuppin							kee	
Common Tocharian	Common Tocharian	ine-001	car3													
Cook Islands Maori	Māori Kūki ʻĀirani	rar-000	kapu												kaa`ore	
Copainalá Zoque	tzunipʌꞌnotowe—Poquiʌꞌmʌ	zoc-000	k37													
Coptic	ϯⲁⲥⲡⲓ ⲛⲣⲉⲙⲣⲏⲥ	cop-000	ⲧⲟⲧ	ⲕⲱⲓ	ϩⲟ											
Cornish / Modern Cornish	Kernowek	cor-000	dorn	elyn	enep	ombellhe	tava	golhi	pas	chei golyow	shara	kemeneth	koweth	teylu	namoy	gortos
Cree	ᓀᐦᐃᔭᐤ	cre-000	ᒥᑎᐦᒌ													
Crimean Tatar	Qırımtatar tili	crh-000	qol	tirsek	bet		toqunmaq	yuvmaq	öksürik	üy			dost	qoranta	yoq	
Croatian	hrvatski	hrv-000	ruka	lakat	lice	udaljenost	dodir	prati	kašalj	kuća	akcija	zajednica	prijatelj	obitelj	ne	boraviti
Crow	Apsáalooke	cro-000	isché					íisshuwi								
Cunén Quiché	Cunén Quiché	quc-017	Xab"													
Cusco Quechua	Qusqu qhichwa simi	quz-000	maki	kuchus	uya	chayniyaq	llamkhay	mayllakuy	uhu	wasi	puriynin	ayllu	yanasu	ayllu	mana	takuy
Czech	čeština	ces-000	ruka	loket	tvář	vzdálenost	dotek	mýt	kašel	domov	akcie	společenství	přítel	rodina	ne	zůstat
Dagaare	Dàgáárè	dga-000	nu													
Dakarkari	C’lela	dri-000	koma													
Dakelh / Southern Carrier	Dakeł	caf-000	nyula	bunintsʼuzti	bunen					koonkʼet			sutʼeke	lhulhhedoh	gwa	
Damascus Arabic / Damascus Arabic—ASJP	Damascus Arabic—ASJP	apc-000	id													
Dangme	Adangme	ada-000	ni*ne													
Danish	dansk	dan-000	hånd	albue	ansigt	afstand	berøre	vaske	hoste	hjem	aktie	gruppe	ven	familie	nej	forblive
Dargwa / Dargin	дарган мез	dar-000	някъ	газа някъ	бяхӀ		къячиркес	дирцес	хъехІикІес		бутІес		гьалмагъ	хъалибарг	юх	калес
Dari / Dari Persian	زبان دری	prs-000	دست	آرنج	روئ			میشیود			سهم		رفیق	فامیل		
Darling / Paakantyi	Paakantyi	drl-000	mara	kupu	miri		kurti	ngulya-	kunku-	yapara			kanya		ngaatha-pari*	nhaangka-
Dehong Tai	Tai2 Lə6	tdd-001	mɨ.2													
Demotic	Demotic	egy-006	ḏr.ṱ		ḥr									mhw.t		
Deyah	Dusun Deyah	dun-000	kayaN													
Dhivehi / Maldivian	ދިވެހިބަސް	div-000	އަތްތިލަ	އުޅަބޮށި	މޫނު								ރަތތެހި	އާއިލާ		
Dido / Tsez	цез мец	ddo-000	рекьа	рукь	гьутІмІали		рекьа ата	эсада	къахІлІа		рулъира		гьалмагъ	гьакъу	ану	лІеха
Digor Ossetian	дыгуронау	oss-001	къох													
Dixon Reef	Dixon Reef	dix-000	bara													
Djangu	Yolŋu-matha	dhg-000	goŋ	ṉoṉu	ṉanydjak	goyurr	baṯ	waḏapthun	ŋalparr	ŋirrima	balaka		bämara	miṯtji	yaka	nyekthirri
Dolenjski Romani	Dolenjski Romani	rom-001	va													
Dolgan	Дулҕан	dlg-000	ili													
Dongolawi / Dongolese Nubian	Andaandi	dgl-000	ˈıː													
Dothraki	Dothraki	art-259	qora	vem	hatif		frakhat	affisat						rhojosor	vos	
Duala / Douala	duálá	dua-000	diá	dibɔ́ngɔ lá diá	bosó		tápa	óɛ	ɔ́se				dikɔ́m		čɛ́m	dia
Dungan	хуэйзў йүян	dng-000													бу	
Dutch	Nederlands	nld-000	hand	elleboog	gezicht	afstand	aanraken	wassen	hoest	huis	aandeel	gemeenschap	vriend	familie	nee	blijven
Dzodinka	Adere	add-000	bɔɱ		ʃiɱ								ᴢoɱn			
Dzongkha	རྫོང་ཁ་	dzo-000	ཕྱག	ཀི་ལི	ཞལ	རྒྱང	ནོམ	ཆུ་འཁྱུ	གློ་འཁོག་ནི	སྡོད་ཁང	བགོ་སྐལ	མི་སྡེ	ཆ་རོགས	བཟའ་ཚང	མེན	གནས་ནི
Early Zhou Chinese	Early Zhou Chinese	och-004	ƛʰuʔ													
East	East	nic-007		ə̀ːbɔ̀lu	uːrɛ̀ wéːsù		ɟĩʏ̈wə	ìːzə̀wə	ùːkyèlu							
East Ambae Lolomatui	East Ambae Lolomatui	omb-002	lime													
East Ambae Lolsiwoi	East Ambae Lolsiwoi	omb-003	limo													
East Ambae Wailengi	East Ambae Wailengi	omb-004	lime													
East Chadic	East Chadic	cdc-001			fokùnà		dzugà	busiwà	ʔwəɬà				panànà			
East Damar	East Damar	dmr-000	ʼlimano												ʼtadu	
East Greenlandic	tunumiit oraasiat	kal-001	assak													
East Limba	East Limba	lma-000	huloNw~go													
East Makian	East Makian	mky-000	komo													
East Masela	East Masela	vme-000	ʼnim												ʼkar	
East Olodiama	East Olodiama	ijc-006	bira													
East Sakhalin Gilyak	East Sakhalin Gilyak	niv-002	tamk													
East Slovak Romani	East Slovak Romani	rmc-003	vast													
East Tarakiri	East Tarakiri	ijc-007	bara													
